ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68105,2020,X15.to.19.years,682,788,6.5,6.4,6.7,1470
68105,2020,X20.to.24.years,1020,1072,9.3,9.5,9.1,2092
68105,2020,X25.to.29.years,1168,1319,11,10.9,11.2,2487
68105,2020,X30.to.34.years,795,1024,8.1,7.4,8.7,1819
68105,2020,X35.to.39.years,596,775,6.1,5.6,6.6,1371
68105,2020,X40.to.44.years,670,785,6.5,6.3,6.7,1455
68105,2020,X45.to.49.years,800,741,6.8,7.5,6.3,1541
68105,2020,X50.to.54.years,480,649,5,4.5,5.5,1129
68105,2020,X55.to.59.years,462,680,5.1,4.3,5.8,1142
68105,2020,X60.to.64.years,785,678,6.5,7.3,5.7,1463
68105,2020,X65.to.69.years,420,451,3.9,3.9,3.8,871
68105,2020,X70.to.74.years,288,198,2.2,2.7,1.7,486
68105,2020,X75.to.79.years,169,93,1.2,1.6,0.8,262
68105,2020,X80.to.84.years,137,142,1.2,1.3,1.2,279
68105,2020,X85.years.and.over,296,163,2,2.8,1.4,459
68105,2020,Median.age..years.,32.8,32.5,NA,NA,NA,32.7
68106,2018,Total.population,10101,10052,NA,NA,NA,20153
68106,2018,Under.5.years,578,738,6.5,5.7,7.3,1316
68106,2018,X5.to.9.years,491,407,4.5,4.9,4,898
68106,2018,X10.to.14.years,359,409,3.8,3.6,4.1,768
68106,2018,X15.to.19.years,502,555,5.2,5,5.5,1057
68106,2018,X20.to.24.years,1116,1029,10.6,11,10.2,2145
68106,2018,X25.to.29.years,1033,1116,10.7,10.2,11.1,2149
68106,2018,X30.to.34.years,859,998,9.2,8.5,9.9,1857
68106,2018,X35.to.39.years,513,675,5.9,5.1,6.7,1188
68106,2018,X40.to.44.years,508,632,5.7,5,6.3,1140
68106,2018,X45.to.49.years,437,546,4.9,4.3,5.4,983
68106,2018,X50.to.54.years,629,609,6.1,6.2,6.1,1238
68106,2018,X55.to.59.years,709,703,7,7,7,1412
68106,2018,X60.to.64.years,689,505,5.9,6.8,5,1194
68106,2018,X65.to.69.years,459,390,4.2,4.5,3.9,849
68106,2018,X70.to.74.years,452,342,3.9,4.5,3.4,794
68106,2018,X75.to.79.years,212,144,1.8,2.1,1.4,356
68106,2018,X80.to.84.years,289,147,2.2,2.9,1.5,436
68106,2018,X85.years.and.over,266,107,1.9,2.6,1.1,373
68106,2018,Median.age..years.,35.9,33.6,NA,NA,NA,34.6
68106,2019,Total.population,10689,9707,NA,NA,NA,20396
68106,2019,Under.5.years,635,694,6.5,5.9,7.1,1329
68106,2019,X5.to.9.years,534,376,4.5,5,3.9,910
68106,2019,X10.to.14.years,404,450,4.2,3.8,4.6,854
68106,2019,X15.to.19.years,559,533,5.4,5.2,5.5,1092
68106,2019,X20.to.24.years,1234,920,10.6,11.5,9.5,2154
68106,2019,X25.to.29.years,1107,1039,10.5,10.4,10.7,2146
68106,2019,X30.to.34.years,947,941,9.3,8.9,9.7,1888
68106,2019,X35.to.39.years,474,731,5.9,4.4,7.5,1205
68106,2019,X40.to.44.years,525,628,5.7,4.9,6.5,1153
68106,2019,X45.to.49.years,491,385,4.3,4.6,4,876
68106,2019,X50.to.54.years,651,605,6.2,6.1,6.2,1256
68106,2019,X55.to.59.years,638,624,6.2,6,6.4,1262
68106,2019,X60.to.64.years,690,596,6.3,6.5,6.1,1286
68106,2019,X65.to.69.years,521,441,4.7,4.9,4.5,962
68106,2019,X70.to.74.years,465,313,3.8,4.4,3.2,778
68106,2019,X75.to.79.years,249,172,2.1,2.3,1.8,421
68106,2019,X80.to.84.years,294,134,2.1,2.8,1.4,428
68106,2019,X85.years.and.over,271,125,1.9,2.5,1.3,396
68106,2019,Median.age..years.,34.6,34.2,NA,NA,NA,34.4
68106,2020,Total.population,11036,9652,NA,NA,NA,20688
68106,2020,Under.5.years,521,633,5.6,4.7,6.6,1154
68106,2020,X5.to.9.years,681,273,4.6,6.2,2.8,954
68106,2020,X10.to.14.years,679,679,6.6,6.2,7,1358
68106,2020,X15.to.19.years,519,559,5.2,4.7,5.8,1078
68106,2020,X20.to.24.years,1169,964,10.3,10.6,10,2133
68106,2020,X25.to.29.years,1117,1025,10.4,10.1,10.6,2142
68106,2020,X30.to.34.years,1058,834,9.1,9.6,8.6,1892
68106,2020,X35.to.39.years,528,895,6.9,4.8,9.3,1423
68106,2020,X40.to.44.years,664,416,5.2,6,4.3,1080
68106,2020,X45.to.49.years,531,498,5,4.8,5.2,1029
68106,2020,X50.to.54.years,565,559,5.4,5.1,5.8,1124
68106,2020,X55.to.59.years,655,527,5.7,5.9,5.5,1182
68106,2020,X60.to.64.years,616,544,5.6,5.6,5.6,1160
68106,2020,X65.to.69.years,446,471,4.4,4,4.9,917
68106,2020,X70.to.74.years,513,320,4,4.6,3.3,833
68106,2020,X75.to.79.years,236,174,2,2.1,1.8,410
68106,2020,X80.to.84.years,315,118,2.1,2.9,1.2,433
68106,2020,X85.years.and.over,223,163,1.9,2,1.7,386
68106,2020,Median.age..years.,33.8,34.2,NA,NA,NA,34
68107,2018,Total.population,15307,15975,NA,NA,NA,31282
68107,2018,Under.5.years,1465,1531,9.6,9.6,9.6,2996
68107,2018,X5.to.9.years,1473,1443,9.3,9.6,9,2916
